CHR	MB	CM
1	1e-06	0
1	3.480967	1e-04
1	4.058815	2.715
1	5.647527	6.786
1	6.267721	8.057
1	7.168256	8.791
1	7.645445	10.688
1	8.332259	11.571
1	8.901101	11.652
1	9.45789	13.7
1	10.679786	14.419
1	10.997007	16.096
1	11.62643	16.621
1	12.790824	19.955
1	13.654784	20.122
1	14.962354	22.93
1	15.560401	26.547
1	17.362836	27.671
1	19.128258	33.805
1	19.890782	34.101
1	20.89524	36.867
1	21.529749	36.944
1	22.441813	38.009
1	23.071206	39.533
1	24.285034	40.394
1	26.017261	43.094
1	29.551361	45.052
1	31.150873	49.459
1	33.693173	50.854
1	35.157192	54.373
1	36.628281	54.709
1	37.322226	56.347
1	38.226163	56.986
1	38.843859	59.18
1	39.330798	59.821
1	39.862182	59.835
1	40.266552	60.872
1	41.013106	61.265
1	41.757245	62.612
1	42.944409	63.077
1	43.539725	64.089
1	44.619079	64.485
1	44.958832	65.394
1	46.668228	65.729
1	47.775034	66.539
1	48.993224	68.229
1	52.853909	68.875
1	53.308066	69.296
1	55.293452	73.248
1	56.570342	73.844
1	57.081815	75.408
1	59.078584	78.027
1	59.35117	79.04
1	60.006335	80.016
1	61.029141	80.611
1	62.609564	84.058
1	63.16893	84.206
1	65.67935	87.697
1	66.995554	88.429
1	68.622275	90.731
1	70.714938	91.773
1	70.933429	92.481
1	73.881559	93.328
1	75.063372	94.761
1	76.241922	95.026
1	77.321431	96.891
1	78.653637	97.176
1	79.445589	98.13
1	80.831841	98.645
1	83.242271	102.218
1	84.495258	102.731
1	84.524202	103.258
1	85.847563	104.774
1	87.355953	105.34
1	88.442689	107.586
1	90.05143	108.334
1	90.432153	109.138
1	91.63771	109.778
1	92.022405	110.514
1	94.222719	111.316
1	95.124503	112.777
1	98.43174	114.428
1	98.765585	115.211
1	101.806127	117.51
1	102.207718	118.714
1	104.787242	119.403
1	107.182185	121.109
1	108.337835	123.198
1	110.011429	124.421
1	110.936621	126.91
1	111.537912	127.262
1	112.742467	129.473
1	114.348327	130.588
1	114.739698	131.81
1	115.590462	131.972
1	117.617507	134.976
1	119.590812	135.827
1	120.239407	136.68
1	144.106312	137.239
1	144.995145	138.133
1	146.286966	138.183
1	148.26906	139.792
1	150.666679	140.878
1	152.022707	142.485
1	152.925941	142.861
1	153.084311	143.832
1	154.587778	144.421
1	155.168846	145.792
1	157.158015	147.881
1	157.466644	148.921
1	158.01869	149.126
1	158.953118	152.13
1	160.217075	153.053
1	162.095973	156.476
1	162.707039	156.736
1	162.929835	158.36
1	164.192158	160.549
1	165.358483	161.466
1	165.918896	163.984
1	166.525004	164.348
1	166.723443	165.279
1	167.788477	166.347
1	167.847509	166.896
1	168.821548	167.215
1	169.677156	168.418
1	171.639806	169.993
1	173.353588	170.128
1	174.19756	171.834
1	174.669004	171.8341
1	176.294306	173.404
1	177.174084	173.597
1	177.243179	174.086
1	178.388103	174.381
1	178.51593	174.881
1	179.273553	175.212
1	179.81617	176.51
1	182.026033	178.186
1	182.25352	178.893
1	183.64823	179.518
1	183.786615	180.12
1	185.074966	180.5
1	186.171315	181.687
1	186.863284	181.731
1	187.054013	182.353
1	188.027674	182.476
1	188.276651	182.974
1	190.645602	183.513
1	191.856067	185.029
1	193.812953	185.739
1	194.475513	186.575
1	196.077905	186.872
1	199.282919	189.174
1	200.47659	192.442
1	201.265442	192.83
1	201.91855	195.203
1	203.529927	197.376
1	205.371523	201.052
1	206.223492	201.386
1	207.951941	204.957
1	211.593865	207.828
1	212.0343	209.061
1	213.23193	210.628
1	213.895122	210.763
1	214.699038	211.84
1	215.428998	213.917
1	216.364588	214.481
1	216.936971	215.555
1	219.909814	217.549
1	222.313369	220.086
1	223.890651	220.581
1	224.918586	221.782
1	226.983257	222.497
1	228.964086	226.028
1	229.961231	226.911
1	232.424839	231.688
1	233.329785	234.839
1	233.772296	234.961
1	234.684823	236.638
1	234.773403	237.951
1	236.082146	241.402
1	236.505931	241.58
1	236.799632	242.779
1	237.364046	243.057
1	238.5863	245.368
1	238.917416	247.795
1	240.26787	251.721
1	241.169492	253.356
1	242.16904	253.715
1	244.169821	261.76
1	247.17733	262.008
2	1e-06	0
2	2.556919	1e-04
2	4.124734	3.371
2	4.800299	5.893
2	6.829438	9.658
2	8.900436	17.699
2	9.676072	18.33
2	12.643994	25.957
2	15.711355	29.265
2	17.110615	33.393
2	17.836578	33.541
2	18.619133	34.832
2	20.467021	36.422
2	20.755487	37.926
2	22.8694	39.309
2	23.731432	41.021
2	25.266813	41.527
2	26.525518	42.355
2	26.798797	42.984
2	28.429465	43.431
2	28.674145	44.598
2	30.25558	46.006
2	31.424193	48.881
2	32.97723	49.167
2	34.171065	51.553
2	35.454896	52.3
2	36.932343	54.401
2	37.52443	54.549
2	37.987112	55.941
2	39.611678	56.697
2	41.858418	58.497
2	42.225783	59.721
2	42.837844	59.799
2	43.314018	60.945
2	44.959101	62.07
2	46.433179	65.71
2	46.876947	65.921
2	47.862078	67.978
2	48.625109	68.08
2	49.440827	69.148
2	52.338523	70.708
2	53.720691	72.287
2	55.812395	73.152
2	56.475975	74.14
2	58.943894	74.869
2	60.815807	77.02
2	62.272062	77.436
2	62.77076	78.202
2	64.475512	78.521
2	66.812308	82.887
2	67.831501	83.711
2	69.203935	85.982
2	70.403282	86.411
2	72.226494	89.257
2	72.967032	89.295
2	74.339404	90.697
2	74.821748	90.754
2	75.564253	92.633
2	76.494679	92.992
2	77.965082	95.007
2	78.829371	95.238
2	80.703044	98.187
2	84.915586	99.773
2	85.919684	101.397
2	86.862999	101.677
2	88.618559	103.6
2	97.676314	104.318
2	100.41194	105.48
2	100.923998	106.393
2	102.622979	107.527
2	102.68185	107.967
2	104.196445	108.725
2	104.621738	109.601
2	105.133565	109.8
2	105.444123	111.289
2	106.066536	111.889
2	108.891962	113.462
2	109.805518	114.437
2	111.454842	114.781
2	112.367876	116.42
2	114.897519	117.929
2	115.510596	118.971
2	119.236817	120.601
2	119.977597	121.896
2	120.782781	122.094
2	121.81211	125.414
2	122.888261	125.62
2	123.220036	126.412
2	124.435411	126.835
2	125.249741	127.668
2	127.060617	128.188
2	127.63609	129.471
2	128.723931	129.902
2	130.378989	132.385
2	132.750624	134.019
2	133.120693	135.255
2	135.478814	138.754
2	136.482421	138.808
2	136.881967	139.544
2	142.195142	143.056
2	145.05599	145.732
2	148.875899	147.532
2	149.920256	148.758
2	150.919144	149.24
2	151.472758	150.362
2	153.66531	151.378
2	155.360603	153.17
2	157.848963	154.153
2	158.828967	155.556
2	161.582299	157.301
2	162.609135	157.52
2	163.333833	158.554
2	165.62181	160.287
2	168.146606	161.444
2	168.29044	162.161
2	169.291395	162.995
2	169.992027	164.891
2	170.67924	164.974
2	171.289587	167.023
2	172.650694	167.724
2	173.008107	168.677
2	173.849916	169.392
2	174.639998	171.46
2	177.035448	173.405
2	177.33095	174.162
2	179.831074	175.206
2	180.586754	176.269
2	183.375163	177.891
2	184.997422	179.317
2	190.641251	180.778
2	192.048047	181.986
2	193.104137	184.355
2	195.436223	184.844
2	196.769397	185.58
2	197.059396	186.265
2	199.313102	187.086
2	199.405313	187.705
2	202.21147	188.775
2	202.677932	189.775
2	204.522921	190.115
2	205.077605	191.558
2	206.183887	192.249
2	206.5342	193.773
2	207.430135	194.154
2	208.843584	195.772
2	211.211801	196.709
2	212.752172	198.725
2	213.773357	199.529
2	214.593232	199.62
2	216.030633	200.87
2	217.696667	204.772
2	218.372878	205.412
2	218.589197	206.536
2	219.993553	207.521
2	220.581788	209.406
2	221.148804	209.887
2	223.062022	213.701
2	224.750775	215.566
2	227.240708	217.22
2	228.527516	220.722
2	229.571469	221.403
2	230.253464	223.305
2	231.400929	224.515
2	231.593659	225.512
2	232.988809	226.735
2	235.449384	232.109
2	235.736969	234.522
2	237.765225	238.157
2	238.531798	240.487
2	239.297057	241.104
2	240.164008	244.036
2	242.69282	244.0361
3	1e-06	0
3	2.548531	1e-04
3	3.562732	5.844
3	4.535362	7.023
3	7.504555	16.299
3	8.616133	17.868
3	9.356122	20.683
3	10.485618	21.684
3	11.224717	24.029
3	11.642123	24.137
3	12.00224	25.063
3	12.832493	25.409
3	13.905134	27.633
3	14.421549	27.967
3	14.794656	29.576
3	15.385369	30.253
3	16.052851	30.368
3	17.166692	32.137
3	18.355448	32.411
3	19.015451	33.371
3	20.545377	34.068
3	21.436829	35.027
3	22.185278	37.37
3	23.61747	38.01
3	23.784502	38.868
3	25.433104	40.694
3	25.607898	41.565
3	28.620282	44.043
3	30.260426	47.284
3	31.696778	48.752
3	32.390118	51.228
3	33.29662	52.373
3	35.856601	53.576
3	36.817888	54.963
3	37.501017	55.071
3	38.839941	56.551
3	40.7921	57.686
3	41.052675	58.513
3	42.1564	58.793
3	42.398594	59.516
3	43.225301	60.079
3	45.076808	60.685
3	45.15201	61.392
3	45.825524	62.001
3	47.593957	62.715
3	51.747387	63.115
3	53.512919	63.924
3	55.777789	68.271
3	59.375755	70.594
3	60.734312	74.808
3	62.316054	76.856
3	62.634698	78.165
3	63.367449	78.806
3	64.472391	81.861
3	67.541252	86.262
3	71.237486	89.423
3	72.809969	93.395
3	74.633552	96.532
3	75.456785	96.7
3	77.000242	98.004
3	77.8617	99.309
3	79.160577	99.928
3	81.152221	100.246
3	82.615258	101.004
3	86.797529	101.658
3	89.126928	102.726
3	95.01998	102.831
3	98.83892	103.569
3	99.783783	104.511
3	103.035243	105.664
3	103.391981	106.559
3	106.058115	107.822
3	106.856526	108.849
3	107.643193	109.15
3	107.908381	109.998
3	108.65177	110.6
3	113.467797	113.22
3	115.788392	115.779
3	116.715602	116.022
3	117.137111	117.343
3	117.820685	117.585
3	118.834895	119.793
3	122.066323	121.874
3	123.7709	122.432
3	124.97588	124.728
3	126.132209	125.314
3	126.42658	126.419
3	127.308693	126.769
3	127.707837	127.689
3	128.22938	127.793
3	129.23642	129.613
3	132.70255	131.315
3	132.931063	132.102
3	134.59803	133.461
3	135.243598	135.22
3	136.966276	137.027
3	138.682404	137.232
3	139.265345	138.039
3	140.324283	138.352
3	142.821331	141.214
3	143.063173	142.099
3	144.024377	142.326
3	145.059037	144.483
3	145.890562	144.702
3	147.400451	146.24
3	148.824362	147.061
3	148.985508	147.923
3	149.791563	148.663
3	150.84819	150.92
3	152.072858	152.099
3	152.275134	153.264
3	153.056976	153.98
3	155.055227	155.524
3	156.14125	155.786
3	156.396784	156.499
3	157.487648	156.902
3	158.340994	157.794
3	160.082558	158.269
3	161.434972	159.439
3	166.423743	160.891
3	168.595899	161.737
3	169.72191	162.652
3	172.446452	165.313
3	173.882649	168.814
3	174.896978	170.065
3	174.960398	170.882
3	176.32155	172.108
3	177.154901	174.184
3	181.293592	178.593
3	182.686796	178.895
3	183.978835	181.583
3	185.569663	183.135
3	186.016225	184.717
3	187.013016	185.012
